LBDName,DBDName,LBD,inducer,RPU
LBD1,DBD1,0.043039137,0,0.028750143
LBD1,DBD1,0.043039137,0,0.029094457
LBD1,DBD1,0.043039137,0,0.030816022
LBD1,DBD1,0.041489728,0,0.026856421
LBD1,DBD1,0.041489728,0,0.025134856
LBD1,DBD1,0.041489728,0,0.030127396
LBD1,DBD1,0.226443246,0,0.026167795
LBD1,DBD1,0.226443246,0,0.026512108
LBD1,DBD1,0.226443246,0,0.024101917
LBD1,DBD1,0.466888557,0,0.026512108
LBD1,DBD1,0.466888557,0,0.030816022
LBD1,DBD1,0.466888557,0,0.026856421
LBD1,DBD1,0.612073913,0,0.02444623
LBD1,DBD1,0.612073913,0,0.022552508
LBD1,DBD1,0.612073913,0,0.021863882
LBD1,DBD1,0.70962929,0,0.030471709
LBD1,DBD1,0.70962929,0,0.029783083
LBD1,DBD1,0.70962929,0,0.026167795
LBD1,DBD1,0.795133708,0,0.027372891
LBD1,DBD1,0.795133708,0,0.020314473
LBD1,DBD1,0.795133708,0,0.027028578
LBD1,DBD1,2.325605417,0,0.030816022
LBD1,DBD1,2.325605417,0,0.027717204
LBD1,DBD1,2.325605417,0,0.027372891
LBD1,DBD1,4.952714335,0,0.021519568
LBD1,DBD1,4.952714335,0,0.021519568
LBD1,DBD1,4.952714335,0,0.018420751
LBD1,DBD1,6.237002181,0,0.032537588
LBD1,DBD1,6.237002181,0,0.028061517
LBD1,DBD1,6.237002181,0,0.02444623
LBD1,DBD1,8.41707793,0,0.030471709
LBD1,DBD1,8.41707793,0,0.029094457
LBD1,DBD1,8.41707793,0,0.024790543
LBD1,DBD1,8.510042465,0,0.027717204
LBD1,DBD1,8.510042465,0,0.025823482
LBD1,DBD1,8.510042465,0,0.031848961
LBD1,DBD1,9.384023872,0,0.031160335
LBD1,DBD1,9.384023872,0,0.026512108
LBD1,DBD1,9.384023872,0,0.030816022
LBD1,DBD1,0.043039137,100,0.037530127
LBD1,DBD1,0.043039137,100,0.040973258
LBD1,DBD1,0.043039137,100,0.038735223
LBD1,DBD1,0.041489728,100,0.035808562
LBD1,DBD1,0.041489728,100,0.040456789
LBD1,DBD1,0.041489728,100,0.040456789
LBD1,DBD1,0.226443246,100,0.03787444
LBD1,DBD1,0.226443246,100,0.039768163
LBD1,DBD1,0.226443246,100,0.043555607
LBD1,DBD1,0.466888557,100,0.037185814
LBD1,DBD1,0.466888557,100,0.040973258
LBD1,DBD1,0.466888557,100,0.042350511
LBD1,DBD1,0.612073913,100,0.04286698
LBD1,DBD1,0.612073913,100,0.03839091
LBD1,DBD1,0.612073913,100,0.03839091
LBD1,DBD1,0.70962929,100,0.03787444
LBD1,DBD1,0.70962929,100,0.039079536
LBD1,DBD1,0.70962929,100,0.038735223
LBD1,DBD1,0.795133708,100,0.040456789
LBD1,DBD1,0.795133708,100,0.041317571
LBD1,DBD1,0.795133708,100,0.036841501
LBD1,DBD1,2.325605417,100,0.041661885
LBD1,DBD1,2.325605417,100,0.041317571
LBD1,DBD1,2.325605417,100,0.039423849
LBD1,DBD1,4.952714335,100,0.03787444
LBD1,DBD1,4.952714335,100,0.035464249
LBD1,DBD1,4.952714335,100,0.034775623
LBD1,DBD1,6.237002181,100,0.037530127
LBD1,DBD1,6.237002181,100,0.040112476
LBD1,DBD1,6.237002181,100,0.038735223
LBD1,DBD1,8.41707793,100,0.03839091
LBD1,DBD1,8.41707793,100,0.034775623
LBD1,DBD1,8.41707793,100,0.036497188
LBD1,DBD1,8.510042465,100,0.040456789
LBD1,DBD1,8.510042465,100,0.036152875
LBD1,DBD1,8.510042465,100,0.036841501
LBD1,DBD1,9.384023872,100,0.041317571
LBD1,DBD1,9.384023872,100,0.035808562
LBD1,DBD1,9.384023872,100,0.039079536
